Job,Total Compensation
Firefighter,192960.08
Construction Inspector,148749.2
EEO Senior Specialist,164621.76
Utility Plumber,161840.89
Harbor Attendant (OCII),76780.58
IS Engineer-Journey,76436.66
Police Officer 3,165182.42
Program Specialist,122145.74
Engineering Associate 2,98750.77
Custodial Assistant Supervisor,99755.05
Health Care Billing Clerk 2,104029.62
"Srclaimsinvstgtor,Cty Atty Ofc",160856.13
IS Business Analyst-Senior,33916.62
Deputy Court Clerk II,111485.27
General Laborer,103616.07
Senior Physician Specialist,257912.65
Patient Care Assistant,101344.47
Assoc Engineer,150016.89
Transit Operator,77534.3
Medical Evaluations Assistant,82314.85
Registered Nurse,184664.03
Senior Deputy Sheriff,183949.95
"Station Agent, Muni Railway",143401.58
Licensed Vocational Nurse,22588.84
Senior Management Assistant,85130.33
Registered Nurse,161895.36
Firefighter,286267.57
Patient Svcs Finance Tech,95810.81
Transit Operator,55624.48
Manager II,99955.73
Transit Power Line Worker,212116.9
Parts Storekeeper,67726.1
Custodian,93161.2
Senior Clerk,40447.18
Automotive Trnst Shop Sprv 1,214947.09
Health Worker 3,84002.2
Window Cleaner,116755.9
Cook,18210.24
Senior Electrical Inpsector,100239.0
Principal Clerk,45976.04
Senior Personnel Analyst,71646.96
Police Officer 3,143124.43
Transit Operator,139489.94
Police Officer,31915.58
Senior Collections Officer,109832.1
Customer Service Agent,81293.93
Electronic Maintenance Tech,174972.62
IS Business Analyst-Senior,102490.52
Personnel Analyst,41014.77
Truck Driver,131337.46
PS Aide To Prof,32211.78
Senior Clerk,80575.15
Manager I,101711.66
Porter,84953.52
Security Guard,80859.19
Central Processing & Dist Tech,41809.48
Police Officer,181719.59
Porter,85236.62
Emp & Training Spec 2,52373.77
Lighting Fixture Maint Worker,20471.3
Police Officer,128153.5
Police Officer 3,193199.31
Library Technical Assistant 2,115735.7
Police Officer 2,185376.57
Health Worker 3,79363.23
Sergeant 3,220080.5
Transit Fare Inspector,116438.13
Manager III,206527.78
Materials Coordinator,163962.77
Planner 3-Environmental Review,144490.54
Street Inspection Supervisor,104154.59
Executive Contract Employee,238860.12
Health Care Billing Clerk 2,106493.87
Police Officer 3,186209.72
Police Officer 2,174339.87
Program Specialist,43762.87
IS Project Director,208064.01
Asst Engr,14404.61
Senior Clerk Typist,92738.92
Police Officer 2,179519.34
Senior Clerk,87968.94
Porter,64424.51
Registered Nurse,191834.47
Senior Parking Control Officer,99379.91
Police Officer,56479.14
Contract Compliance Officer 2,178365.92
Nurse Practitioner,199652.8
Secretary 2,100830.25
Library Page,40038.18
Deputy Sheriff,21964.63
Senior Water Services Clerk,105268.49
Landscape Architect Assoc 1,84977.29
Patient Care Assistant,105225.37
Sergeant 3,207606.74
Cook,18739.52
Senior Const Inspector,187271.32
Lieutenant 3,60285.0
Maintenance Machinist Sprv 1,152139.88
Stationary Engineer,21838.4
Custodian,50754.96
Electrical Transit System Mech,125259.34
Eng/Arch/Landscape Arch Sr,208859.92
Chief Surveyor,65218.16
Registered Nurse,163547.75
Eligibility Worker Supervisor,160032.63
General Laborer,21588.12
Utility Analyst,125797.56
Transit Car Cleaner,50024.22
"Station Agent, Muni Railway",158846.72
Senior Const Inspector,141012.93
Shelter Service Rep,61374.86
Patient Care Assistant,95229.69
Stationary Engineer,14099.03
Diagnostic Imaging Tech IV,145213.73
Permit Technician I,33650.8
Electrical Transit System Mech,150820.92
Storekeeper,41717.83
Police Officer 3,210004.34
Manager I,180734.22
Eligibility Worker,105005.98
Medical Social Worker,129189.68
Police Officer,129666.4
Sheriff's Sergeant,204781.12
"Manager VIII, MTA",28218.68
Senior Clerk,84103.31
Patient Care Assistant,103566.31
Manager IV,234906.67
Special Nurse,116878.9
Deputy Sheriff,100347.01
Public Safetycomm Disp,85097.88
Recreation Leader,20279.84
General Laborer,100431.39
Porter Supervisor 1,127585.98
"Electrl Trnst Mech, Asst Sprv",195730.23
Nurse Practitioner,25158.5
PS Aide To Prof,32993.34
Library Technical Assistant 2,109299.13
Senior Administrative Analyst,47296.4
Transit Operator,45924.36
Police Officer,181255.95
Police Officer 2,136903.69
Physician Specialist,231337.39
Protective Services Worker,130232.69
Patient Care Assistant,96678.98
Clerk,83708.6
Plumber,157181.26
Senior Fiscal Technician,118893.27
Clerk Typist,86720.41
Painter,43939.45
PS Aide To Prof,41128.17
Medical Evaluations Assistant,52631.66
Maintenance Controller,166967.4
Plumber,152871.84
Environmental Assistant,105721.86
Police Officer,142593.83
Firefighter,158854.08
Sr Payroll & Personnel Clerk,112736.2
Automotive Machinist,117515.32
Carpenter,125903.82
Police Officer,152804.29
Child Support Officer III,132917.04
Health Worker 2,94281.96
Electrician,128237.24
Transit Operator,49717.93
Executive Secretary 1,87105.24
Traf Signal Electrician Sup II,194475.25
Special Nurse,15617.6
Gardener,113529.51
Transit Operator,99255.53
Transit Operator,135121.53
"Lieutenant, Fire Suppression",263144.14
Manager III,205803.23
Senior Physician Specialist,271694.82
Eligibility Worker Supervisor,112417.5
Transit Operator,71808.53
Protective Services Worker,154318.51
Truck Driver,128711.48
Transit Operator,84156.08
Library Technical Assistant 1,82476.61
Stationary Engineer,114215.41
Custodian,86347.06
Inspector 3,191295.67
Gardener,106322.72
Junior Clerk,47682.12
Electrical Transit System Mech,103966.93
Transit Operator,45141.2
Automotive Service Worker,114083.86
Police Officer,155877.34
Transit Operator,43415.73
Transit Operator,119621.32
Personal Property Auditor,104374.98
Transit Car Cleaner,101764.44
Assoc Engineer,155121.88
Sign Worker,86426.49
Engineer,177203.51
Nurse Practitioner,190569.05
Manager III,95171.06
Special Nurse,39505.53
Transit Operator,32999.56
Custodian,107134.63
IT Operations Support Admn III,125429.18
"Claims Investigator, Ca",148259.77
Attorney (Civil/Criminal),216199.67
Electrician,32646.87
Sergeant 3,236326.4
Police Officer 3,178800.85
Senior Eligibility Worker,117823.92
Senior Eligibility Worker,125609.99
Diagnostic Imaging Tech II,217321.65
Senior Clerk,84442.15
Lieutenant 3,56863.4
Deputy Sheriff,152985.58
IS Engineer-Senior,182219.5
Sheriff's Sergeant,157674.43
Management Assistant,30034.17
Senior Eligibility Worker,101650.69
Landscape Architect Assoc 1,197802.03
"Coord, Human Rights Comm",156065.03
Airport Electrician,97041.97
Attorney (Civil/Criminal),220971.97
Transit Operator,115164.2
Transit Operator,60769.41
Police Officer 2,87115.24
Sr Human Resources Analyst,56085.46
Engineering Assistant,91274.72
Utility Specialist,174888.2
Payroll Clerk,101726.42
Public Relations Officer,139546.6
Museum Guard,100184.68
Social Work Specialist,122289.32
Water Quality Tech III,36204.13
Special Nurse,47970.59
Manager III,14983.82
Senior Account Clerk,51243.27
Special Nurse,77963.17
Bldg & Grounds Patrol Officer,98899.11
Park Section Supervisor,115757.45
Window Cleaner,116542.2
"Ex Asst To Ex Dir, Retirement",178948.95
Transit Operator,117613.31
Transit Operator,131942.75
Police Officer 3,180875.8
Recreation Leader,17800.73
Accountant II,27608.26
Project Manager 3,245820.99
Senior Clerk,86982.43
"Operating Engineer, Universal",135490.42
Communications Systems Tech,50369.28
Electrical Transit System Mech,154674.63
Gardener,81847.1
"Head Atty, Civil & Criminal",104263.1
Stationary Engineer,128355.79
Police Officer 3,213927.91
Stationary Engineer,121829.57
"Lieut,Fire Prev",27317.28
Manager III,201172.58
Trans Safety Specialist,191965.44
Senior Management Assistant,49023.16
Stationary Engineer,120069.73
Public Svc Aide-Public Works,19278.36
"Stdntdsgntrain1, Arch/Eng/Plng",28428.2
Public Service Trainee,28064.93
Clerk,53904.26
Automotive Mechanic,142207.36
Public Health Team Leader,115520.42
Transit Planner 2,82123.11
Physician Specialist,267846.87
Transit Operator,98503.07
Senior Clerk Typist,92574.01
Transit Operator,71167.31
Engineer,191287.93
Librarian 2,134583.11
Principal Clerk,107657.5
Transit Supervisor,108916.08
Training Officer,130793.63
Project Manager 2,15202.28
Clerk,84586.04
Automotive Mechanic,124882.7
Librarian 1,73622.33
"Lieutenant, Fire Suppression",229584.54
Electrical Line Worker,166106.41
Communications Dispatcher 1,72681.74
Nursing Supervisor,50303.3
Fire Rescue Paramedic,171219.13
Custodian,55090.38
Customer Service Agent,105265.96
Transit Operator,131394.21
Traffic Survey Technician,70228.87
Occupational Therapist,93119.03
Recreation Specialist,45007.35
Special Nurse,79999.85
Architectural Associate 2,162183.75
Asst Engr,141754.58
Public Svc Aide-Public Works,17317.98
"Counselor, Log Cabin Ranch",139140.69
Custodial Assistant Supervisor,40526.92
Community Police Services Aide,68689.02
Transit Supervisor,45540.95
Automotive Service Worker,40370.89
Special Nurse,43924.66
Librarian 1,23644.42
Special Nurse,71503.76
Transit Operator,19821.18
Lieutenant 3,220443.88
School Crossing Guard,16258.09
Senior Account Clerk,99880.37
Attorney (Civil/Criminal),220270.22
Museum Guard,23270.31
Inspector 3,188389.39
Police Officer 2,170540.62
Asst Engr,141975.49
Nursing Supervisor,311694.3
Nursing Assistant,71257.71
Clinical Pharmacist,179704.37
EMT/Paramedic/Firefighter,132820.76
Transit Supervisor,148246.03
Claims Adjuster,164160.2
Commercial Div Asst Sprv,132467.8
Environmental Health Inspector,94952.46
Transit Operator,162075.55
Food Service Worker,60911.23
Truck Driver,43862.7
Registered Nurse,194121.17
Manager VI,179571.71
Museum Guard,26732.08
Environmental Health Inspector,45787.87
Planner 2,32847.54
Police Officer,43550.72
Special Nurse,12397.45
Gardener,100108.28
Administrative Analyst,38283.3
Asst Superintendent Rec,136131.26
"Battlion Chief, Fire Suppressi",259611.65
"Stdntdsgntrain1, Arch/Eng/Plng",18026.41
Public Safetycomm Supv,168120.32
Accountant II,31577.93
Pr Administrative Analyst,151056.88
Porter,90320.32
Inspector 3,213689.44
"Lieutenant, Fire Suppression",175626.48
Police Officer 2,235356.32
Stdntdsgn Train2/Arch/Eng/Plng,24519.48
Emergency Services Coord III,151877.14
Transit Operator,159993.15
Transit Operator,123852.78
Senior Eligibility Worker,76365.14
Sheriff's Cadet,62457.99
Sheriff's Lieutenant,214784.44
Transit Operator,119109.0
Painter,117832.97
Police Officer 3,128297.98
"Secretary, Comm On The Environ",88281.5
Sergeant 3,60096.24
Community Police Services Aide,76877.62
Airport Communications Disp,123672.25
Public Svc Aide-Public Works,26336.01
Deputy Sheriff,120798.51
Aprnt  Stationary Engineer I,16948.98
Deputy Court Clerk II,112417.71
Senior Eligibility Worker,98677.74
Public Service Trainee,18800.56
Criminal Justice Specialist 2,20603.22
Health Worker 2,91469.0
Recreation Leader,21041.18
Custodian,91950.16
Asphalt Worker,100663.98
General Laborer,38735.46
Porter,90594.31
Transit Operator,43460.3
Transit Fare Inspector,50048.97
Protective Services Worker,138667.88
General Laborer,42662.85
General Laborer,18750.79
"Manager VI, MTA",220811.86
Estate Investigator,100791.52
Shelter Service Rep,39713.69
Transit Operator,68428.21
Transit Operator,41988.25
"Sr Stationary Eng, Sew Plant",176853.14
"Investigator, Tax Collector",124833.4
Sergeant 3,240309.69
Principal Account Clerk,93641.01
School Crossing Guard,16529.81
Police Officer 3,163287.86
Automotive Mechanic,124112.51
Swimming Instr/Pool Lifeguard,41963.29
Transit Operator,79613.22
Senior Management Assistant,30394.31
Human Services Technician,119513.37
Registered Nurse,213407.45
Sr Human Resources Analyst,98635.41
Electrician,111343.74
Police Officer 3,202610.11
Executive Secretary 3,126555.39
Patient Care Assistant,90677.95
Firefighter,34266.14
"Stdntdsgntrain1, Arch/Eng/Plng",41830.21
Statnry Eng Water Treat Plant,149040.31
Parking Control Officer,84705.97
Sheriff's Cadet,76426.56
Medical Evaluations Assistant,28973.11
Construction Inspector,108738.54
Patient Care Assistant,78422.01
Parking Control Officer,63280.43
Physician Specialist,232300.36
Transit Operator,73504.78
Transit Operator,79331.5
Protective Services Worker,41843.05
Transit Operator,30000.74
Custodian,86151.49
Transit Operator,66244.83
"Stdntdsgntrain3, Arch/Eng/Plng",16479.58
Registered Nurse,195847.06
Registered Nurse,193577.88
IS Engineer-Senior,96847.68
Cable Splicer,125325.06
Transit Operator,99112.32
Police Officer 3,165460.14
Utility Plumber Supervisor 1,216913.13
Utility Specialist,139129.0
Senior Eligibility Worker,92958.59
Health Care Billing Clerk 2,79222.16
"Marriage, Family & Child Cnslr",134309.17
IS Engineer-Journey,15464.64
Transit Supervisor,191456.23
EMT/Paramedic/Firefighter,167442.16
Truck Driver,122899.57
Park Patrol Officer,89639.85
General Laborer,115784.19
Electr Instrmntn Tech Wtr Poll,158844.32
Police Officer 3,176012.09
Environmental Spec,125391.68
Commander 3,102247.62
"Counselor, Juvenile Hall",81229.12
Special Nurse,30876.39
Health Worker 1,86239.23
Transit Planner III,149094.71
Stdntdsgn Train2/Arch/Eng/Plng,27262.13
"Counselor,Log Cabin Rnch SFERS",100135.49
Transit Operator,30946.5
Physician Specialist,227082.44
Health Worker 1,81817.51
Custodian,87689.11
Senior Clerk Typist,41915.89
Sergeant 3,236563.23
Account Clerk,19651.91
EMT/Paramedic/Firefighter,203169.78
Executive Secretary 1,107775.22
EMT/Paramedic/Firefighter,121041.98
Custodian,88015.07
Public Relations Officer,137259.14
Medical Evaluations Assistant,91086.96
IS Project Director,79958.82
Registered Nurse,177125.66
Architectural Assistant 2,125142.95
Health Program Coordinator 3,142971.11
Stationary Engineer,112690.59
Public Safetycomm Disp,137817.11
Registered Nurse,209867.66
Senior Account Clerk,99534.07
Senior Personnel Analyst,125894.37
Gardener,36398.25
Public Safetycomm Supv,206312.89
Senior Clerk Typist,94966.13
Transit Power Line Worker,192502.74
Diagnostic Imaging Tech II,221652.96
Transit Operator,109602.14
Attorney (Civil/Criminal),143887.07
Sheet Metal Worker,97201.06
Senior Eligibility Worker,99985.75
Transit Operator,123227.03
EMT/Paramedic/Firefighter,203842.04
X-Ray Laboratory Aide,74281.69
"Captain, Fire Suppression",229893.5
Public Safetycomm Disp,168247.39
Bldgs & Grounds Maint Supt,38850.75
Police Officer,201044.07
Dep Dir IV,154921.63
Permit Technician I,43111.15
IS Business Analyst-Senior,131090.46
Fire Alarm Dispatcher,145405.4
Senior Eligibility Worker,131737.7
Senior Account Clerk,90843.34
Medical Social Worker,133472.06
Automotive Body & Fender Wrk,139304.95
Wharfinger 2,123725.67
Truck Driver,98226.93
Firefighter,200140.75
Engineer/Architect Principal,257915.69
General Laborer,97081.05
Community Police Services Aide,72881.22
IS Business Analyst,36170.32
Sergeant 3,142289.09
"Battlion Chief, Fire Suppressi",39026.82
Special Nurse,123184.61
Librarian 1,122578.33
Senior Collections Officer,109450.34
Public Health Nurse,106331.28
Health Worker 1,53086.36
Senior Clerk,41855.29
Project Manager 1,110442.23
Special Nurse,60645.75
Program Support Analyst,139749.61
IS Trainer-Assistant,105311.6
Accountant IV,24792.73
Communications Systems Tech,190037.84
Deputy Sheriff,157384.58
"Director, Probate",203290.61
Police Officer,129279.87
Carpenter,126716.25
Senior Account Clerk,68774.8
Librarian 3,145060.37
Invstgtor Ofc Citizen Cmplnts,77512.76
Engineer,195654.27
Community Development Spec,119309.85
"Sr Stationary Eng, Sew Plant",185659.98
Permit And Citation Clerk,112081.42
Transit Operator,94883.73
Steamfitter,150486.9
Utility Analyst,36428.31
Transit Operator,91774.03
Museum Guard,121111.3
Recreation Leader,20735.14
Police Officer,166675.88
"Stationary Eng, Sewage Plant",41658.12
Eng/Arch/Landscape Arch Sr,211197.57
Deputy Probation Officer,134966.87
Community Police Services Aide,95882.24
Automotive Mechanic,146701.36
Museum Guard,99071.04
Police Officer 3,181093.37
Senior Eligibility Worker,113300.12
Police Officer,128965.03
Registered Nurse,172868.64
Administrative Engineer,197675.82
Licensed Vocational Nurse,173187.9
IT Operations Support Admin II,38096.34
Protective Services Worker,139214.45
Senior Stationary Engineer,139254.0
Special Nurse,49328.63
Street Environ Svcs Oprs Supv,30364.66
Physical Therapist,64033.63
Transit Operator,94772.38
Customer Service Agent,108511.37
"Battlion Chief, Fire Suppressi",101249.8
"Captain, Emergency Med Svcs",285938.53
Painter,41811.8
Legal Process Clerk,19464.22
Police Officer 3,226640.17
Senior Eligibility Worker,121852.94
Contract Compliance Officer 1,141437.87
Psychiatric Technician,109596.7
Deputy Sheriff,154567.97
Sergeant 3,213079.23
Museum Guard,112226.2
Police Officer,129218.09
IS Engineer-Journey,64733.3
Unit Clerk,43097.54
Firefighter,197365.12
Senior Clerk Typist,91840.2
Transit Operator,124307.83
Parking Control Officer,94312.38
Automotive Mechanic,118788.33
Painter,115159.27
Registered Nurse,181638.62
Deputy Sheriff,227603.48
Medical Evaluations Assistant,97979.48
Automotive Machinist,121676.21
Water Service Inspector,144820.27
Senior Clerk Typist,92895.61
Transit Supervisor,134277.04
Custodian,91558.92
Registered Nurse,47928.58
Transit Operator,118970.25
Deputy Sheriff,154829.2
Cable Splicer,125097.54
Junior Engineer,103660.66
Police Officer,173482.21
